gold_label	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	pairID	heuristic	subcase	template
non-entailment	( ( The senators ) ( ( heard ( ( the athlete ) ( stopped ( the artists ) ) ) ) . ) )	( ( The senators ) ( ( heard ( the athlete ) ) . ) )	(ROOT (S (NP (DT The) (NNS senators)) (VP (VBD heard) (SBAR (S (NP (DT the) (NN athlete)) (VP (VBD stopped) (NP (DT the) (NN artists)))))) (. .)))	(ROOT (S (NP (DT The) (NNS senators)) (VP (VBD heard) (NP (DT the) (NN athlete))) (. .)))	The senators heard the athlete stopped the artists .	The senators heard the athlete .	ex10402	subsequence	sn_NP/S	temp37
non-entailment	( ( ( The doctor ) ( near ( the athlete ) ) ) ( ( avoided ( the lawyer ) ) . ) )	( ( The athlete ) ( ( avoided ( the lawyer ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN doctor)) (PP (IN near) (NP (DT the) (NN athlete)))) (VP (VBD avoided) (NP (DT the) (NN lawyer))) (. .)))	(ROOT (S (NP (DT The) (NN athlete)) (VP (VBD avoided) (NP (DT the) (NN lawyer))) (. .)))	The doctor near the athlete avoided the lawyer .	The athlete avoided the lawyer .	ex11465	subsequence	sn_PP_on_subject	temp38
non-entailment	( ( ( The president ) ( who ( contacted ( the student ) ) ) ) ( shouted . ) )	( ( The student ) ( shouted . ) )	(ROOT (S (NP (NP (DT The) (NN president)) (SBAR (WHNP (WP who)) (S (VP (VBD contacted) (NP (DT the) (NN student)))))) (VP (VBD shouted)) (. .)))	(ROOT (S (NP (DT The) (NN student)) (VP (VBD shouted)) (. .)))	The president who contacted the student shouted .	The student shouted .	ex12815	subsequence	sn_relative_clause_on_subject	temp39
non-entailment	( ( ( The scientist ) ( presented ( in ( the museum ) ) ) ) ( ( contacted ( the secretaries ) ) . ) )	( ( The scientist ) ( ( presented ( in ( the museum ) ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN scientist)) (VP (VBN presented) (PP (IN in) (NP (DT the) (NN museum))))) (VP (VBD contacted) (NP (DT the) (NN secretaries))) (. .)))	(ROOT (S (NP (DT The) (NN scientist)) (VP (VBD presented) (PP (IN in) (NP (DT the) (NN museum)))) (. .)))	The scientist presented in the museum contacted the secretaries .	The scientist presented in the museum .	ex13050	subsequence	sn_past_participle	temp40
non-entailment	( ( Before ( ( the managers ) presented ) ) ( ( the lawyers ) ( resigned . ) ) )	( ( The managers ) ( ( presented ( the lawyers ) ) . ) )	(ROOT (S (SBAR (IN Before) (S (NP (DT the) (NNS managers)) (VP (VBD presented)))) (NP (DT the) (NNS lawyers)) (VP (VBD resigned)) (. .)))	(ROOT (S (NP (DT The) (NNS managers)) (VP (VBD presented) (NP (DT the) (NNS lawyers))) (. .)))	Before the managers presented the lawyers resigned .	The managers presented the lawyers .	ex14651	subsequence	sn_NP/Z	temp42
entailment	( ( ( The students ) ( and ( the secretaries ) ) ) ( ( mentioned ( the doctor ) ) . ) )	( ( The secretaries ) ( ( mentioned ( the doctor ) ) . ) )	(ROOT (S (NP (NP (DT The) (NNS students)) (CC and) (NP (DT the) (NNS secretaries))) (VP (VBD mentioned) (NP (DT the) (NN doctor))) (. .)))	(ROOT (S (NP (DT The) (NNS secretaries)) (VP (VBD mentioned) (NP (DT the) (NN doctor))) (. .)))	The students and the secretaries mentioned the doctor .	The secretaries mentioned the doctor .	ex15274	subsequence	se_conjunction	temp44
entailment	( ( Important athletes ) ( arrived . ) )	( Athletes ( arrived . ) )	(ROOT (S (NP (JJ Important) (NNS athletes)) (VP (VBD arrived)) (. .)))	(ROOT (S (NP (NNS Athletes)) (VP (VBD arrived)) (. .)))	Important athletes arrived .	Athletes arrived .	ex16997	subsequence	se_adjective	temp46
entailment	( ( The lawyer ) ( ( won ( the tournament ) ) . ) )	( ( The lawyer ) ( won . ) )	(ROOT (S (NP (DT The) (NN lawyer)) (VP (VBD won) (NP (DT the) (NN tournament))) (. .)))	(ROOT (S (NP (DT The) (NN lawyer)) (VP (VBD won)) (. .)))	The lawyer won the tournament .	The lawyer won .	ex17081	subsequence	se_understood_object	temp47
entailment	( ( The students ) ( ( saw ( ( the tourist ) ( that waited ) ) ) . ) )	( ( The students ) ( ( saw ( the tourist ) ) . ) )	(ROOT (S (NP (DT The) (NNS students)) (VP (VBD saw) (NP (NP (DT the) (NN tourist)) (SBAR (WHNP (WDT that)) (S (VP (VBD waited)))))) (. .)))	(ROOT (S (NP (DT The) (NNS students)) (VP (VBD saw) (NP (DT the) (NN tourist))) (. .)))	The students saw the tourist that waited .	The students saw the tourist .	ex18658	subsequence	se_relative_clause_on_obj	temp48
entailment	( ( The lawyers ) ( ( saw ( ( the professor ) ( behind ( the bankers ) ) ) ) . ) )	( ( The lawyers ) ( ( saw ( the professor ) ) . ) )	(ROOT (S (NP (DT The) (NNS lawyers)) (VP (VBD saw) (NP (NP (DT the) (NN professor)) (PP (IN behind) (NP (DT the) (NNS bankers))))) (. .)))	(ROOT (S (NP (DT The) (NNS lawyers)) (VP (VBD saw) (NP (DT the) (NN professor))) (. .)))	The lawyers saw the professor behind the bankers .	The lawyers saw the professor .	ex19409	subsequence	se_PP_on_obj	temp49
non-entailment	( ( Whether ( or ( not ( ( the secretary ) ( stopped ( the actors ) ) ) ) ) ) ( , ( ( ( the artist ) ( helped ( the bankers ) ) ) . ) ) )	( ( The secretary ) ( ( stopped ( the actors ) ) . ) )	(ROOT (S (SBAR (IN Whether) (CC or) (RB not) (S (NP (DT the) (NN secretary)) (VP (VBD stopped) (NP (DT the) (NN actors))))) (, ,) (S (NP (DT the) (NN artist)) (VP (VBD helped) (NP (DT the) (NN bankers)))) (. .)))	(ROOT (S (NP (DT The) (NN secretary)) (VP (VBD stopped) (NP (DT the) (NN actors))) (. .)))	Whether or not the secretary stopped the actors , the artist helped the bankers .	The secretary stopped the actors .	ex20080	constituent	cn_embedded_under_if	temp50
non-entailment	( ( If ( ( the secretary ) ( helped ( the tourists ) ) ) ) ( , ( ( ( the student ) ( contacted ( the lawyers ) ) ) . ) ) )	( ( The student ) ( ( contacted ( the lawyers ) ) . ) )	(ROOT (S (SBAR (IN If) (S (NP (DT the) (NN secretary)) (VP (VBD helped) (NP (DT the) (NN tourists))))) (, ,) (S (NP (DT the) (NN student)) (VP (VBD contacted) (NP (DT the) (NN lawyers)))) (. .)))	(ROOT (S (NP (DT The) (NN student)) (VP (VBD contacted) (NP (DT the) (NN lawyers))) (. .)))	If the secretary helped the tourists , the student contacted the lawyers .	The student contacted the lawyers .	ex21616	constituent	cn_after_if_clause	temp51
non-entailment	( ( The president ) ( ( assumed ( that ( ( the senator ) resigned ) ) ) . ) )	( ( The senator ) ( resigned . ) )	(ROOT (S (NP (DT The) (NN president)) (VP (VBD assumed) (SBAR (IN that) (S (NP (DT the) (NN senator)) (VP (VBD resigned))))) (. .)))	(ROOT (S (NP (DT The) (NN senator)) (VP (VBD resigned)) (. .)))	The president assumed that the senator resigned .	The senator resigned .	ex22930	constituent	cn_embedded_under_verb	temp52
non-entailment	( ( ( The author ) ( helped ( the secretary ) ) ) ( , ( or ( ( ( the actor ) ( recognized ( the judges ) ) ) . ) ) ) )	( ( The actor ) ( ( recognized ( the judges ) ) . ) )	(ROOT (S (S (NP (DT The) (NN author)) (VP (VBD helped) (NP (DT the) (NN secretary)))) (, ,) (CC or) (S (NP (DT the) (NN actor)) (VP (VBD recognized) (NP (DT the) (NN judges)))) (. .)))	(ROOT (S (NP (DT The) (NN actor)) (VP (VBD recognized) (NP (DT the) (NN judges))) (. .)))	The author helped the secretary , or the actor recognized the judges .	The actor recognized the judges .	ex23487	constituent	cn_disjunction	temp54
non-entailment	( Maybe ( ( ( the artist ) slept ) . ) )	( ( The artist ) ( slept . ) )	(ROOT (S (ADVP (RB Maybe)) (S (NP (DT the) (NN artist)) (VP (VBD slept))) (. .)))	(ROOT (S (NP (DT The) (NN artist)) (VP (VBD slept)) (. .)))	Maybe the artist slept .	The artist slept .	ex24289	constituent	cn_adverb	temp58
entailment	( ( While ( ( the scientists ) ( saw ( the tourists ) ) ) ) ( , ( ( ( the artist ) resigned ) . ) ) )	( ( The scientists ) ( ( saw ( the tourists ) ) . ) )	(ROOT (S (SBAR (IN While) (S (NP (DT the) (NNS scientists)) (VP (VBD saw) (NP (DT the) (NN tourists))))) (, ,) (S (NP (DT the) (NN artist)) (VP (VBD resigned))) (. .)))	(ROOT (S (NP (DT The) (NNS scientists)) (VP (VBD saw) (NP (DT the) (NN tourists))) (. .)))	While the scientists saw the tourists , the artist resigned .	The scientists saw the tourists .	ex25113	constituent	ce_embedded_under_since	temp59
entailment	( ( Since ( ( the author ) ( introduced ( the actors ) ) ) ) ( , ( ( ( the senators ) ( called ( the tourists ) ) ) . ) ) )	( ( The senators ) ( ( called ( the tourists ) ) . ) )	(ROOT (S (SBAR (IN Since) (S (NP (DT the) (NN author)) (VP (VBD introduced) (NP (DT the) (NN actors))))) (, ,) (S (NP (DT the) (NNS senators)) (VP (VBD called) (NP (DT the) (NN tourists)))) (. .)))	(ROOT (S (NP (DT The) (NNS senators)) (VP (VBD called) (NP (DT the) (NN tourists))) (. .)))	Since the author introduced the actors , the senators called the tourists .	The senators called the tourists .	ex26200	constituent	ce_after_since_clause	temp60
entailment	( ( The athlete ) ( ( remembered ( that ( ( the artist ) ( introduced ( the doctor ) ) ) ) ) . ) )	( ( The artist ) ( ( introduced ( the doctor ) ) . ) )	(ROOT (S (NP (DT The) (NN athlete)) (VP (VBD remembered) (SBAR (IN that) (S (NP (DT the) (NN artist)) (VP (VBD introduced) (NP (DT the) (NN doctor)))))) (. .)))	(ROOT (S (NP (DT The) (NN artist)) (VP (VBD introduced) (NP (DT the) (NN doctor))) (. .)))	The athlete remembered that the artist introduced the doctor .	The artist introduced the doctor .	ex27636	constituent	ce_embedded_under_verb	temp61
entailment	( ( ( The bankers ) ( called ( the student ) ) ) ( , ( and ( ( ( the presidents ) ( recommended ( the secretaries ) ) ) . ) ) ) )	( ( The presidents ) ( ( recommended ( the secretaries ) ) . ) )	(ROOT (S (S (NP (DT The) (NNS bankers)) (VP (VBD called) (NP (DT the) (NN student)))) (, ,) (CC and) (S (NP (DT the) (NNS presidents)) (VP (VBD recommended) (NP (DT the) (NN secretaries)))) (. .)))	(ROOT (S (NP (DT The) (NNS presidents)) (VP (VBD recommended) (NP (DT the) (NN secretaries))) (. .)))	The bankers called the student , and the presidents recommended the secretaries .	The presidents recommended the secretaries .	ex28532	constituent	ce_conjunction	temp63
entailment	( Definitely ( ( ( the artists ) ( mentioned ( the professor ) ) ) . ) )	( ( The artists ) ( ( mentioned ( the professor ) ) . ) )	(ROOT (S (ADVP (RB Definitely)) (S (NP (DT the) (NNS artists)) (VP (VBD mentioned) (NP (DT the) (NN professor)))) (. .)))	(ROOT (S (NP (DT The) (NNS artists)) (VP (VBD mentioned) (NP (DT the) (NN professor))) (. .)))	Definitely the artists mentioned the professor .	The artists mentioned the professor .	ex29388	constituent	ce_adverb	temp68
